name,method,orbitalPeriod,mass,radius,semimajor,density,composition,dist,luminosity,Habitable?
Kepler-423 b,Transit,2.6843285,0.595,1.192,0.03585,0.459,Hot Jupiter,725.0,0.5884807656249998,False
Kepler-424 b,Transit,3.3118644,1.03,0.89,0.044,1.94,Neptune,712.87,0.7964420140959998,False
Kepler-425 b,Transit,3.79701816,0.25,0.978,0.0464,0.27,Hot Jupiter,650.0,0.473107357584,False
Kepler-426 b,Transit,3.21751883,0.34,1.09,0.0414,0.26,Hot Jupiter,880.0,0.5932450101760001,False
Kepler-427 b,Transit,10.290994,0.29,1.23,0.091,0.16,Hot Jupiter,1100.0,3.061100160000001,False
Kepler-428 b,Transit,3.52563254,1.27,1.08,0.0433,1.02,Hot Jupiter,720.0,0.31002624000000006,False
Kepler-432 b,Transit,52.501129,5.41,1.145,0.301,4.46,Mars,870.0,473.4258817559039,False
Kepler-433 b,Transit,5.33408384,2.82,1.45,0.0679,1.13,Hot Jupiter,1870.0,55.60828075321597,False
Kepler-434 b,Transit,12.8747099,2.86,1.13,0.1143,2.4,Neptune,1240.0,5.222504678399998,False
Kepler-435 b,Transit,8.6001536,0.84,1.99,0.0948,0.131,Hot Jupiter,2070.0,251.803389202596,False
Kepler-447 b,Transit,7.79430132,1.37,1.65,0.0769,0.4,Hot Jupiter,270.12,1.2155062500000002,False
Lupus-TR-3 b,Transit,3.91405,0.81,0.89,0.0464,1.4,Hot Jupiter,2000.0,0.34221096014399993,False
OGLE-TR-10 b,Transit,3.101278,0.62,1.25,0.0434,0.4,Hot Jupiter,1386.23,2.435303818115999,False
OGLE-TR-113 b,Transit,1.4324752,1.26,1.093,0.02289,1.2,Hot Jupiter,600.0,0.21387110144400004,False
OGLE-TR-132 b,Transit,1.689868,1.18,1.2,0.03035,0.85,Hot Jupiter,2500.0,5.130768614400002,False
PSR J1719-1438 b,Pulsar Timing,0.09070629,1.2,None,0.0044,23.0,gold,1200.0,5.017599999999999e-06,False
Qatar-1 b,Transit,1.4200242,1.294,1.143,0.02332,1.076,Hot Jupiter,186.61,0.28901376,False
Qatar-2 b,Transit,1.33711647,2.494,1.254,0.02153,1.573,Neptune,182.32,0.20269444665600003,False
TrES-3 b,Transit,1.30618581,1.91,1.336,0.02282,0.994,Hot Jupiter,228.0,0.410467018329,False
TrES-5 b,Transit,1.48224686,1.79,1.194,0.02459,1.31,Hot Jupiter,364.1,0.46404706409999996,False
WASP-1 b,Transit,2.5199454,0.854,1.483,0.03889,0.348,Hot Jupiter,397.29,7.179805994256,False
WASP-2 b,Transit,2.152226,0.915,1.071,0.03138,0.92,Hot Jupiter,166.0,0.39436390425599993,False
WASP-5 b,Transit,1.6284279,1.58,1.087,0.0267,1.64,Neptune,311.88,1.037268919296,False
WASP-7 b,Transit,4.9546416,0.96,1.33,0.0617,0.55,Hot Jupiter,163.05,6.851159670783999,False
WASP-10 b,Transit,3.0927616,3.15,1.08,0.03781,4.14,Mars,141.57,0.13505624999999996,False
WASP-19 b,Transit,0.78883899,1.069,1.392,0.01634,0.492,Hot Jupiter,270.41,0.81,False
WASP-20 b,Transit,4.8996284,0.311,1.462,0.06,0.132,Hot Jupiter,210.0,5.3755349903999985,False
WASP-21 b,Transit,4.322482,0.3,1.07,0.052,0.32,Hot Jupiter,260.33,1.3378253427359996,False
WASP-28 b,Transit,3.40883,0.907,1.213,0.04469,0.676,Hot Jupiter,410.0,1.4686095070440004,False
WASP-31 b,Transit,3.4059096,0.478,1.549,0.04659,0.172,Hot Jupiter,360.0,3.2851562499999996,False
WASP-36 b,Transit,1.53736596,2.361,1.327,0.02677,1.26,Hot Jupiter,390.64,1.075850221824,False
WASP-37 b,Transit,3.577469,1.8,1.16,0.0446,1.53,Neptune,343.0,0.8649000000000001,False
WASP-39 b,Transit,4.055259,0.28,1.27,0.0486,0.186,Hot Jupiter,230.0,0.5674608900000001,False
WASP-42 b,Transit,4.9816819,0.527,1.122,0.0561,0.464,Hot Jupiter,178.19,0.566248725025,False
WASP-43 b,Transit,0.813475,1.78,0.93,0.0142,2.939,Mars,80.0,0.043597439999999994,False
WASP-44 b,Transit,2.4238039,0.889,1.14,0.03473,0.811,Hot Jupiter,368.31,0.6751169390250001,False
XO-6 b,Transit,3.7650007,4.4,2.07,0.0815,0.62,Hot Jupiter,237.06,29.982228213608995,False
WASP-46 b,Transit,1.43036763,1.91,1.174,0.02335,1.467,Hot Jupiter,379.36,0.37683392142399996,False
WASP-52 b,Transit,1.7497798,0.46,1.27,0.0272,0.29,Hot Jupiter,140.0,0.2948131630890001,False
WASP-57 b,Transit,2.83891856,0.644,1.05,0.03769,0.693,Hot Jupiter,402.8,0.5925319971210002,False
WASP-59 b,Transit,7.919585,0.863,0.775,0.0697,2.4,Neptune,125.0,0.07177683974399998,False
WASP-120 b,Transit,3.6112706,4.85,1.473,0.0514,2.0,Neptune,437.0,23.626316997481002,False
WASP-64 b,Transit,1.5732918,1.271,1.271,0.02648,0.823,Hot Jupiter,350.0,1.2624769600000003,False
WASP-65 b,Transit,2.3114243,1.55,1.112,0.0334,1.5,Neptune,310.0,0.9000184082490001,False
WASP-70 A b,Transit,3.7130203,0.59,1.164,0.04853,0.499,Hot Jupiter,245.0,2.729513711376,False
WASP-75 b,Transit,2.484193,1.07,1.27,0.0375,0.69,Hot Jupiter,260.0,3.275607698496,False
WASP-80 b,Transit,3.06785234,0.538,0.999,0.0344,0.717,Hot Jupiter,49.86,0.04076280240399999,False
WASP-84 b,Transit,8.5234865,0.694,0.942,0.0771,1.104,Hot Jupiter,125.0,0.22325624999999996,False
WASP-123 b,Transit,2.9776412,0.899,1.318,0.04263,0.521,Hot Jupiter,214.0,3.6746129571839994,False
HATS-25 b,Transit,4.2986432,0.613,1.26,0.05163,0.38,Hot Jupiter,466.0,1.4878608088410004,False
HATS-26 b,Transit,3.3023881,0.65,1.75,0.04735,0.153,Hot Jupiter,907.0,29.268965606400002,False
HATS-27 b,Transit,4.637038,0.53,1.5,0.0611,0.18,Hot Jupiter,840.0,18.483051852863998,False
HATS-28 b,Transit,3.1810781,0.672,1.194,0.04131,0.48,Hot Jupiter,521.0,0.6196082711040002,False
HATS-29 b,Transit,4.6058749,0.653,1.251,0.05475,0.411,Hot Jupiter,351.0,1.3906234870090002,False
HATS-30 b,Transit,3.1743516,0.706,1.175,0.04354,0.543,Hot Jupiter,339.0,1.4999488761760005,False
WASP-121 b,Transit,1.2749255,1.183,1.865,0.02544,0.243,Hot Jupiter,270.0,8.2809270756,False
HATS-15 b,Transit,1.74748753,2.17,1.105,0.02712,1.97,Neptune,689.0,0.5422378314240001,False
HATS-16 b,Transit,2.686502,3.27,1.3,0.03744,1.86,Neptune,774.0,2.2244887267839997,False
WASP-96 b,Transit,3.4252602,0.48,1.2,0.0453,0.37,Hot Jupiter,356.02,1.3657428225000003,False
WASP-98 b,Transit,2.96264036,0.922,1.144,0.03762,0.764,Hot Jupiter,284.05,0.19674192513600003,False
WASP-103 b,Transit,0.925542,1.49,1.528,0.01985,0.55,Hot Jupiter,470.0,6.399847563263998,False
WASP-104 b,Transit,1.7554137,1.272,1.137,0.02918,1.074,Hot Jupiter,143.0,0.9906778275839999,False
WTS-1 b,Transit,3.352057,4.01,1.49,0.047,1.61,Neptune,3200.0,2.518568999999999,False
WTS-2 b,Transit,1.0187068,1.12,1.363,0.01855,0.54,Hot Jupiter,1000.0,0.21275156249999996,False
XO-2 N b,Transit,2.61586178,0.566,0.993,0.0368,0.715,Hot Jupiter,154.94,0.9038247858089999,False
K2-38 c,Transit,10.56103,0.03115,0.216,0.0964,3.6,Mars,193.71,18.197527412735997,False
XO-5 b,Transit,4.1877558,1.19,1.14,0.0515,1.06,Hot Jupiter,278.37,1.7635202565759995,False
HATS-10 b,Transit,3.312846,0.526,0.969,0.04491,0.7,Hot Jupiter,496.0,1.7715610000000008,False
HAT-P-55 b,Transit,3.5852467,0.582,1.182,0.04604,0.435,Hot Jupiter,480.0,1.0615201506010001,False
WASP-83 b,Transit,4.971252,0.3,1.04,0.059,0.35,Hot Jupiter,300.0,1.4976252506250005,False
WASP-89 b,Transit,3.3564227,5.9,1.04,0.0427,7.0,iron,293.38,0.5075821527040001,False
