name,method,orbitalPeriod,mass,radius,semimajor,density,composition,dist,luminosity,Habitable?
WASP-118 b,Transit,4.0460435,0.514,1.44,0.05453,0.233,Hot Jupiter,380.53,14.552699039999998,False
WASP-85 A b,Transit,2.6556777,1.265,1.24,0.039,0.88,Hot Jupiter,142.46,0.9276078393759999,False
WASP-113 b,Transit,4.54216875,0.475,1.409,0.05885,0.228,Hot Jupiter,360.0,11.707154951184004,False
KPS-1 b,Transit,1.706291,1.09,1.03,0.0269,1.31,Hot Jupiter,264.69,0.5431822660810001,False
HATS-43 b,Transit,4.3888497,0.261,1.18,0.04944,0.191,Hot Jupiter,341.0,0.303737663376,False
HATS-44 b,Transit,2.7439004,0.56,1.067,0.03649,0.56,Hot Jupiter,463.0,0.3860758224999999,False
HATS-45 b,Transit,4.1876244,0.7,1.286,0.05511,0.41,Hot Jupiter,818.0,4.749989225809001,False
HATS-46 b,Transit,4.7423729,0.173,0.903,0.05367,0.28,Hot Jupiter,448.0,0.44182608999999995,False
HATS-7 b,Transit,3.185315,0.12,0.563,0.04012,0.83,Hot Jupiter,257.0,0.31101255922500004,False
NGTS-3 A b,Transit,1.6753728,2.38,1.48,0.023,0.31,Hot Jupiter,1010.0,0.7782733112040002,False
HD 89345 b,Transit,11.8143,0.11,0.66,0.1066,0.471,Hot Jupiter,132.8,12.620256249999999,False
WASP-114 b,Transit,1.5487743,1.769,1.339,0.02851,0.97,Hot Jupiter,460.0,6.958627202240999,False
HAT-P-65 b,Transit,2.6054552,0.527,1.89,0.03951,0.096,Hot Jupiter,841.0,17.523567165456004,False
HAT-P-66 b,Transit,2.972086,0.783,1.59,0.04363,0.242,Hot Jupiter,927.0,19.518723999999995,False
HATS-18 b,Transit,0.8378434,1.98,1.337,0.01761,1.02,Hot Jupiter,645.0,1.1707586242560002,False
WASP-130 b,Transit,11.55098,1.23,0.89,0.1012,2.34,Neptune,180.0,0.918653239296,False
WASP-131 b,Transit,5.322023,0.27,1.22,0.0607,0.2,Hot Jupiter,250.0,6.157117673316002,False
WASP-132 b,Transit,7.133521,0.41,0.87,0.067,0.84,Hot Jupiter,120.0,0.19191408640000002,False
WASP-139 b,Transit,5.924262,0.117,0.8,0.062,0.31,Hot Jupiter,230.0,0.34668544000000007,False
WASP-140 b,Transit,2.2359835,2.44,1.44,0.0323,1.1,Hot Jupiter,180.0,0.46404706409999996,False
WASP-141 b,Transit,3.310651,2.69,1.21,0.0469,1.98,Neptune,570.0,5.504302515625001,False
WASP-142 b,Transit,2.052868,0.84,1.53,0.0347,0.31,Hot Jupiter,840.0,12.796130900223998,False
WASP-151 b,Transit,4.533471,0.31,1.13,0.055,0.29,Hot Jupiter,458.91,1.9700031306239996,False
WASP-153 b,Transit,3.332609,0.39,1.55,0.048,0.15,Hot Jupiter,430.0,16.083997956196004,False
WASP-156 b,Transit,3.836169,0.128,0.51,0.0453,1.3,Hot Jupiter,140.0,0.23540351385599995,False
HAT-P-67 b,Transit,4.8101025,0.34,2.085,0.06505,0.052,Hot Jupiter,320.0,113.72302880999996,False
K2-111 b,Transit,5.35117,0.02706,0.17,0.0621,6.6,Earth,201.51,1.7724981479039998,False
CoRoTID 223977153 b,Transit,6.71837,0.15,0.57,0.071,1.1,Hot Jupiter,586.2,0.45431374478400016,False
HATS-31 b,Transit,3.37796,0.88,1.64,0.0478,0.243,Hot Jupiter,872.0,19.723040569969005,False
HATS-32 b,Transit,2.8126548,0.92,1.249,0.04024,0.58,Hot Jupiter,839.0,1.7715610000000008,False
HATS-33 b,Transit,2.5495551,1.192,1.23,0.03727,0.79,Hot Jupiter,255.0,1.2162207749760001,False
HATS-34 b,Transit,2.1061607,0.941,1.43,0.03166,0.4,Hot Jupiter,532.0,0.8324372643999999,False
HATS-35 b,Transit,1.8209993,1.222,1.464,0.03199,0.484,Hot Jupiter,557.0,7.286047735823999,False
WASP-127 b,Transit,4.178062,0.18,1.37,0.052,0.09,Hot Jupiter,102.0,4.354183342223999,False
WASP-136 b,Transit,5.215357,1.51,1.38,0.0661,0.773,Hot Jupiter,164.0,47.42499786956099,False
WASP-138 b,Transit,3.634433,1.22,1.09,0.0494,1.2,Hot Jupiter,308.0,5.091846406144001,False
Qatar-3 b,Transit,2.5079204,4.31,1.096,0.03783,4.0,Mars,750.99,3.440412877225,False
Qatar-4 b,Transit,1.8053564,6.1,1.135,0.02803,5.1,Earth,332.17,0.42282506249999996,False
Qatar-5 b,Transit,2.8792319,4.32,1.107,0.04127,3.95,Mars,371.39,1.737208353024,False
KELT-18 b,Transit,2.8717518,1.18,1.57,0.0455,0.377,Hot Jupiter,311.0,30.748267092543994,False
K2-237 b,Transit,2.1805577,1.236,1.642,0.0353,0.37,Hot Jupiter,309.5,5.486893977743998,False
K2-238 b,Transit,3.20466,0.86,1.3,0.046,0.56,Hot Jupiter,453.0,9.050705216721001,False
K2-260 b,Transit,2.6266657,1.42,1.552,0.0404,0.5,Hot Jupiter,676.32,15.760733260440995,False
K2-261 b,Transit,11.63344,0.223,0.85,0.102,0.483,Hot Jupiter,214.58,8.9685275625,False
K2-265 b,Transit,2.369172,0.02058,0.153,0.03376,7.1,iron,139.22,0.780692410624,False
Kepler-1656 b,Transit,31.578659,0.15291,0.448,0.197,2.13,Neptune,186.88,1.5532636900000003,False
WASP-144 b,Transit,2.2783152,0.44,0.85,0.0316,0.95,Hot Jupiter,358.72,0.2824295364810001,False
WASP-145 A b,Transit,1.7690381,0.89,0.9,0.0261,1.6,Neptune,91.54,0.12349882777600005,False
WASP-158 b,Transit,3.656333,2.79,1.07,0.0517,3.1,Mars,532.92,7.109145024803997,False
WASP-159 b,Transit,3.840401,0.55,1.38,0.0538,0.28,Hot Jupiter,730.5,39.40651660652099,False
WASP-162 b,Transit,9.62468,5.2,1.0,0.0871,6.9,iron,313.6,1.3700585450250002,False
WASP-168 b,Transit,4.153658,0.42,1.5,0.0519,0.16,Hot Jupiter,306.63,1.8353529815040008,False
WASP-172 b,Transit,5.477433,0.47,1.57,0.0694,0.16,Hot Jupiter,546.02,29.546497477560994,False
WASP-173 A b,Transit,1.38665318,3.69,1.2,0.0248,2.84,Mars,234.54,1.6736726270250004,False
